year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET Mat Procede	¥	¥	¥	¥	¥	¥	¥	¥	¥	2807	6	50	33	5
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Chimique	¥	¥	¥	¥	¥	¥	¥	¥	¥	2967	4	75	0	5
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Pro. Inf	¥	¥	¥	¥	¥	¥	¥	¥	¥	2996	12	33	42	12
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIACET G. Industri	¥	¥	¥	¥	¥	¥	¥	¥	¥	2407	20	45	65	14
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIAME Meca Energ.	¥	¥	¥	¥	¥	¥	¥	¥	¥	3363	13	23	46	15
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIAME Info Autom.	¥	¥	¥	¥	¥	¥	¥	¥	¥	3367	11	9	36	12
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIAME Mecatronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	3359	5	60	80	6
2004	MP	CONC. COMM. POLYTECHNIQUE	Commun Polytechnique MP	5959	23	26	4211	23	29	3367	23	31	¥	¥	¥	¥	1041
2004	MP	CONC. COMM. POLYTECHNIQUE	Rang du dernier appelé
2004	MP	CONC. COMM. POLYTECHNIQUE	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	BANQUE D'EPREUVES C.C.P	Ecole Navale Brest	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE D'EPREUVES C.C.P	Ecole Navale Brest	577	15	32	171	13	53	90	13	64	60	27	4	63	27
2004	MP	BANQUE D'EPREUVES C.C.P	ENSIETA Brest Mili.	788	18	33	278	16	47	142	17	58	142	14	14	57	15
2004	MP	BANQUE D'EPREUVES C.C.P	ENSCI Limoges	208	42	20	196	42	18	55	51	15	52	10	30	20	10
2004	MP	BANQUE D'EPREUVES C.C.P	ENSIT Mulhouse	156	44	23	144	46	21	38	45	13	38	7	57	0	10
2004	MP	BANQUE D'EPREUVES C.C.P	ENSAI Rennes civil	794	32	34	600	33	36	465	32	40	380	43	26	42	48
2004	MP	BANQUE D'EPREUVES C.C.P	ENSAI Rennes fonctionnaire	1091	28	37	802	28	40	461	28	48	319	26	35	50	26
2004	MP	BANQUE D'EPREUVES C.C.P	ENSAI Rennes etranger	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE D'EPREUVES C.C.P	ENGEES Fonctionnaires	¥	¥	¥	¥	¥	¥	¥	¥	¥	19	2	100	0	2
2004	MP	BANQUE D'EPREUVES C.C.P	ENGEES Civils	¥	¥	¥	¥	¥	¥	¥	¥	¥	78	10	70	30	10
2004	MP	BANQUE D'EPREUVES C.C.P	ENGEES Strasbourg MP	495	44	26	238	47	32	118	51	33	¥	¥	¥	¥	12
2004	MP	BANQUE D'EPREUVES C.C.P	ENSGI	704	17	29	347	36	25	128	55	17	¥	30	60	47	¥
2004	MP	BANQUE D'EPREUVES C.C.P	ENSGSI	399	38	24	259	44	27	97	56	32	¥	10	60	30	¥
2004	MP	BANQUE D'EPREUVES C.C.P	ESM ST CYR	333	11	33	181	11	43	82	11	55	¥	25	4	68	¥
2004	MP	BANQUE D'EPREUVES C.C.P	Rang du dernier appelé
2004	MP	BANQUE D'EPREUVES C.C.P	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS TELECOM INT	Telecom INT	2019	23	34	884	22	39	432	27	46	379	81	27	46	80
2004	MP	CONCOURS TELECOM INT	ESIEE-Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	1236	12	8	8	15
2004	MP	CONCOURS TELECOM INT	ISMEA Marseille	¥	¥	¥	¥	¥	¥	¥	¥	¥	1230	11	18	18	10
2004	MP	CONCOURS TELECOM INT	ESIEE/ISMEA MP	¥	¥	¥	¥	¥	¥	1246	23	36	¥	¥	¥	¥	25
2004	MP	CONCOURS TELECOM INT	Rang du dernier appelé
2004	MP	CONCOURS TELECOM INT	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS EIVP	EIVP Fonc. Paris	¥	¥	¥	¥	¥	¥	618	25	54	483	5	40	80	6
2004	MP	CONCOURS EIVP	EIVP Civil Paris	¥	¥	¥	¥	¥	¥	648	25	54	634	15	13	53	14
2004	MP	CONCOURS EIVP	Rang du dernier appelé
2004	MP	CONCOURS EIVP	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS DES ENSTIM	ENSTIM Albi	¥	¥	¥	¥	¥	¥	¥	¥	¥	90	2	0	0	5
2004	MP	CONCOURS DES ENSTIM	ENSTIM Ales	¥	¥	¥	¥	¥	¥	¥	¥	¥	87	6	67	17	8
2004	MP	CONCOURS DES ENSTIM	ENSTIM Douai	¥	¥	¥	¥	¥	¥	¥	¥	¥	90	0	0	0	3
2004	MP	CONCOURS DES ENSTIM	ENSTIM Nantes	¥	¥	¥	¥	¥	¥	¥	¥	¥	78	3	0	33	6
2004	MP	CONCOURS DES ENSTIM	ENSTIM MP	484	30	33	283	33	40	90	39	43	¥	¥	¥	¥	22
2004	MP	CONCOURS DES ENSTIM	Rang du dernier appelé
2004	MP	CONCOURS DES ENSTIM	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS ENSAE STATISTIQUE	ENSAE Statistique etranger	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	CONCOURS ENSAE STATISTIQUE	ENSAE Statistique	1640	23	36	642	17	40	621	17	41	509	45	20	49	45
2004	MP	CONCOURS ENSAE STATISTIQUE	Rang du dernier appelé
2004	MP	CONCOURS ENSAE STATISTIQUE	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS ESTP	ESTP-TP	¥	¥	¥	¥	¥	¥	¥	¥	¥	506	64	14	45	64
2004	MP	CONCOURS ESTP	ESTP-BAT	¥	¥	¥	¥	¥	¥	¥	¥	¥	620	65	38	26	64
2004	MP	CONCOURS ESTP	ESTP MECA-ELEC	¥	¥	¥	¥	¥	¥	¥	¥	¥	676	19	11	47	20
2004	MP	CONCOURS ESTP	ESTP-GEOMETRES	¥	¥	¥	¥	¥	¥	¥	¥	¥	681	9	22	44	10
2004	MP	CONCOURS ESTP	ESTP MP	1200	25	31	983	26	33	815	26	37	¥	¥	¥	¥	158
2004	MP	CONCOURS ESTP	Rang du dernier appelé
2004	MP	CONCOURS ESTP	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
