year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	pc	Concours Mines-Télécom	Mines Saint Etienne-ISMIN										10	20.0	10.0	1189	1101	12
2019	pc	Concours Mines-Télécom	Télécom Physique Strasbourg TI-Santé										8	75.0	25.0	1526	1497	8
2019	pc	Concours Mines-Télécom	TELECOM SudParis-cursus Evry										29	48.3	24.1	681	662	30
2019	pc	Concours Mines-Télécom	TELECOM SudParis-cursus Sophia-Antipolis										3	33.3	0.0	770	805	3
2019	pc	Concours Mines-Télécom	¥Concours Mines-Télécom PC	3620	34.3	23.6	1965	33.3	26.0	1859	33.3	26.1	227					230
2019	pc	Concours Mines-Télécom	ENSTA Bretagne (filière sous statut IETA-Direction Générale de l'Armement)	3620	34.3	23.6	1738	32.5	28.5	1651	32.3	28.6	8	25.0	50.0	457	469	8
2019	pc	Concours Mines-Télécom	ENSG-Géomatique Marne la Vallée Civil										8	37.5	50.0	2025	1958	5
2019	pc	Concours Mines-Télécom	ENSG Nancy										10	60.0	20.0	1898	1892	10
2019	pc	Concours Mines-Télécom	ENSSAT Lannion										19	26.3	31.6	1920	1839	11
2019	pc	Concours Mines-Télécom	TELECOM Nancy										7	28.6	14.3	1377	1342	5
2019	pc	Concours Mines-Télécom	TELECOM St Etienne-Statut étudiant										16	12.5	37.5	1649	1635	11
2019	pc	Concours Mines-Télécom	¥Concours Mines-Télécom Spécifique PC	3620	34.3	23.6	2587	34.8	24.9	2184	33.9	25.5	60					42
2019	pc	CONCOURS POLYTECH Inter-Filière	ENSIBS Lorient										0	0.0	0.0	4132	3804	14
2019	pc	CONCOURS POLYTECH Inter-Filière	ENSIM Le Mans										1	0.0	0.0	2275	2591	10
2019	pc	CONCOURS POLYTECH Inter-Filière	ESBS Strasbourg										2	100.0	0.0	1302	1222	3
2019	pc	CONCOURS POLYTECH Inter-Filière	ESGT le Mans										1	0.0	0.0	3170	2990	15
2019	pc	CONCOURS POLYTECH Inter-Filière	ESI Reims-Packaging										4	75.0	0.0	3730	3139	8
2019	pc	CONCOURS POLYTECH Inter-Filière	ESI Reims-Energetique										2	0.0	50.0	4121	4099	5
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIAB Brest										2	100.0	50.0	4001	3843	3
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIPE Créteil-Génie Biomédical et santé (ISBS)										2	100.0	0.0	3586	3328	10
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIPE Créteil-Système d'information										0	0.0	0.0	4356	4304	3
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIPE Créteil-Technologie pour la santé										1	100.0	0.0	4338	4338	3
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIR Rennes										7	28.6	28.6	3782	3070	20
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIREM Dijon										2	100.0	50.0	4120	3927	4
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIROI Saint Denis de La Réunion										0	0.0	0.0	0	0	3
2019	pc	CONCOURS POLYTECH Inter-Filière	ESIX Normandie-Caen-Cherbourg										1	100.0	100.0	4152	4152	4
2019	pc	CONCOURS POLYTECH Inter-Filière	ISAT Nevers-département MIT (Mécanique et Ingénierie desTransports)										1	0.0	100.0	1345	1328	5
2019	pc	CONCOURS POLYTECH Inter-Filière	ISAT Nevers-département EPEE (Energies et Moteurs)										1	0.0	100.0	3141	3085	12
2019	pc	CONCOURS POLYTECH Inter-Filière	ISAT Nevers-Infrastructures et Réseaux de Transports										0	0.0	0.0	3522	3381	4
