year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,mines-ponts,PSI,PAU,LOUIS BARTHOU,17,2,7,1,6,1,1,0
2002,mines-ponts,PSI,CAEN,MALHERBE,5,1,0,0,0,0,0,0
2002,mines-ponts,PSI,CAEN,VICTOR HUGO,23,4,8,0,7,0,2,0
2002,mines-ponts,PSI,CHERBOURG,VICTOR GRIGNARD,6,0,0,0,0,0,0,0
2002,mines-ponts,PSI,CLERMONT-FERRAND,BLAISE PASCAL,65,13,14,5,12,4,3,1
2002,mines-ponts,PSI,CLERMONT-FERRAND,LA FAYETTE,23,2,6,0,6,0,2,0
2002,mines-ponts,PSI,AUXERRE,JACQUES AMYOT,10,0,0,0,0,0,0,0
2002,mines-ponts,PSI,DIJON,CARNOT,38,7,12,0,10,0,1,0
2002,mines-ponts,PSI,DIJON,GUSTAVE EIFFEL,22,3,4,0,4,0,1,0
2002,mines-ponts,PSI,ANNECY,BERTHOLLET,22,2,9,1,8,1,3,0
2002,mines-ponts,PSI,GRENOBLE,CHAMPOLLION,78,8,35,3,33,3,11,2
2002,mines-ponts,PSI,VALENCE,CAMILLE VERNET,1,0,0,0,0,0,0,0
2002,mines-ponts,PSI,ARRAS,ROBESPIERRE,14,3,1,0,1,0,0,0
2002,mines-ponts,PSI,BOULOGNE SUR MER,MARIETTE,2,1,0,0,0,0,0,0
2002,mines-ponts,PSI,DOUAI,A. CHATELET,26,3,11,1,11,1,2,1
2002,mines-ponts,PSI,DUNKERQUE,JEAN BART,16,1,0,0,0,0,0,0
2002,mines-ponts,PSI,LENS,CONDORCET,1,0,0,0,0,0,0,0
2002,mines-ponts,PSI,LILLE,CESAR BAGGIO,49,8,8,3,6,2,2,0
2002,mines-ponts,PSI,LILLE,FAIDHERBE,52,14,29,10,28,10,14,5
2002,mines-ponts,PSI,LILLE,OZANAM,1,0,0,0,0,0,0,0
2002,mines-ponts,PSI,VALENCIENNES,HENRI WALLON,44,9,10,1,9,1,2,0
